iter	RMSE
0	13.97360516
1	13.14243715
2	12.30686157
3	11.58326243
4	10.93889872
5	10.39697124
6	9.905832907
7	9.478095839
8	9.089630934
9	8.682481132
10	8.311486609
11	7.994635464
12	7.72986343
13	7.451662134
14	7.223669553
15	7.037790984
16	6.864177722
17	6.704872208
18	6.564984916
19	6.443738293
20	6.339077751
21	6.232902237
22	6.129649777
23	6.034904993
24	5.959636498
25	5.903184681
26	5.835713241
27	5.783362958
28	5.735615182
29	5.690679745
30	5.644820469
31	5.602773068
32	5.559104016
33	5.527529923
34	5.490596365
35	5.461101985
36	5.43659586
37	5.418770412
38	5.398865731
39	5.37458737
40	5.359343833
41	5.340762809
42	5.326774645
43	5.304905752
44	5.290594658
45	5.272783913
46	5.245040627
47	5.231972111
48	5.220122657
49	5.204435513
50	5.187726577
51	5.175958482
52	5.16722965
53	5.157366907
54	5.152177099
55	5.134325072
56	5.124752677
57	5.113079087
58	5.102684382
59	5.091605221
60	5.07953187
61	5.059643725
62	5.049051504
63	5.034240841
64	5.023733483
65	5.005883971
66	4.999509503
67	4.986320242
68	4.97160101
69	4.963797294
70	4.95998097
71	4.950555769
72	4.939671333
73	4.926439306
74	4.908394892
75	4.901772659
76	4.890941435
77	4.883029382
78	4.875668403
79	4.862134925
80	4.857774242
81	4.851502589
82	4.841712
83	4.833397754
84	4.82417587
85	4.809835079
86	4.801642535
87	4.793904391
88	4.787002624
89	4.781389274
90	4.763563448
91	4.759690384
92	4.751802532
93	4.733707661
94	4.72153991
95	4.719695468
96	4.705008761
97	4.697331985
98	4.689067984
99	4.681104009
